,path,label,size,width,height,aspect ratio,range,std
cat.0.jpg,/Users/SadiXD/Desktop/tensorflow_practice/Cats vs. Dogs/cats_vs_dogs/train/cat.0.jpg,cat,"(500, 374)",500,374,1.3368983957219251,255,82.33958047168828
cat.1.jpg,/Users/SadiXD/Desktop/tensorflow_practice/Cats vs. Dogs/cats_vs_dogs/train/cat.1.jpg,cat,"(300, 280)",300,280,1.0714285714285714,255,37.64923242004451
cat.10.jpg,/Users/SadiXD/Desktop/tensorflow_practice/Cats vs. Dogs/cats_vs_dogs/train/cat.10.jpg,cat,"(489, 499)",489,499,0.9799599198396793,252,57.260557065818894
cat.100.jpg,/Users/SadiXD/Desktop/tensorflow_practice/Cats vs. Dogs/cats_vs_dogs/train/cat.100.jpg,cat,"(403, 499)",403,499,0.8076152304609219,255,61.92720369438655
cat.1000.jpg,/Users/SadiXD/Desktop/tensorflow_practice/Cats vs. Dogs/cats_vs_dogs/train/cat.1000.jpg,cat,"(150, 149)",150,149,1.0067114093959733,255,72.6334570275516
cat.10000.jpg,/Users/SadiXD/Desktop/tensorflow_practice/Cats vs. Dogs/cats_vs_dogs/train/cat.10000.jpg,cat,"(431, 359)",431,359,1.200557103064067,255,64.24275299115884
cat.10001.jpg,/Users/SadiXD/Desktop/tensorflow_practice/Cats vs. Dogs/cats_vs_dogs/train/cat.10001.jpg,cat,"(500, 374)",500,374,1.3368983957219251,255,67.83734158854809
cat.10002.jpg,/Users/SadiXD/Desktop/tensorflow_practice/Cats vs. Dogs/cats_vs_dogs/train/cat.10002.jpg,cat,"(499, 471)",499,471,1.059447983014862,255,35.45921483105932
cat.10003.jpg,/Users/SadiXD/Desktop/tensorflow_practice/Cats vs. Dogs/cats_vs_dogs/train/cat.10003.jpg,cat,"(499, 375)",499,375,1.3306666666666667,255,85.33192479215847
cat.10004.jpg,/Users/SadiXD/Desktop/tensorflow_practice/Cats vs. Dogs/cats_vs_dogs/train/cat.10004.jpg,cat,"(320, 239)",320,239,1.3389121338912133,255,52.954294648693306
cat.10005.jpg,/Users/SadiXD/Desktop/tensorflow_practice/Cats vs. Dogs/cats_vs_dogs/train/cat.10005.jpg,cat,"(319, 177)",319,177,1.8022598870056497,255,66.97778093940943
cat.10006.jpg,/Users/SadiXD/Desktop/tensorflow_practice/Cats vs. Dogs/cats_vs_dogs/train/cat.10006.jpg,cat,"(460, 320)",460,320,1.4375,255,47.991825375169725
cat.10007.jpg,/Users/SadiXD/Desktop/tensorflow_practice/Cats vs. Dogs/cats_vs_dogs/train/cat.10007.jpg,cat,"(219, 300)",219,300,0.73,255,59.77222312017351
cat.10008.jpg,/Users/SadiXD/Desktop/tensorflow_practice/Cats vs. Dogs/cats_vs_dogs/train/cat.10008.jpg,cat,"(500, 374)",500,374,1.3368983957219251,254,46.917894663089406
cat.10009.jpg,/Users/SadiXD/Desktop/tensorflow_practice/Cats vs. Dogs/cats_vs_dogs/train/cat.10009.jpg,cat,"(472, 500)",472,500,0.944,255,45.901555154584216
cat.1001.jpg,/Users/SadiXD/Desktop/tensorflow_practice/Cats vs. Dogs/cats_vs_dogs/train/cat.1001.jpg,cat,"(336, 499)",336,499,0.6733466933867736,255,49.269704471553695
cat.10010.jpg,/Users/SadiXD/Desktop/tensorflow_practice/Cats vs. Dogs/cats_vs_dogs/train/cat.10010.jpg,cat,"(499, 386)",499,386,1.2927461139896372,255,69.11057474475754
cat.10011.jpg,/Users/SadiXD/Desktop/tensorflow_practice/Cats vs. Dogs/cats_vs_dogs/train/cat.10011.jpg,cat,"(357, 448)",357,448,0.796875,255,54.59548168824806
